# Goxel 0.3.0
# One line per voxel
# X Y Z RRGGBB
-1 -3 9  0 0 0
14 -3 9  0 0 0
3 -2 9 ffffff
4 -2 9 ffffff
5 -2 9 ffffff
6 -2 9 ffffff
7 -2 9 ffffff
8 -2 9 ffffff
9 -2 9 ffffff
10 -2 9 ffffff
3 -1 9 ffffff
4 -1 9 ffffff
5 -1 9 ffffff
6 -1 9 ffffff
7 -1 9 ffffff
8 -1 9 ffffff
9 -1 9 ffffff
10 -1 9 ffffff
3 1 9 ffffff
4 1 9 ffffff
5 1 9 ffffff
8 1 9 ffffff
10 1 9 ffffff
11 1 9 ffffff
12 1 9 ffffff
3 2 9 ffffff
4 2 9 ffffff
5 2 9 ffffff
8 2 9 ffffff
10 2 9 ffffff
11 2 9 ffffff
12 2 9 ffffff
14 4 9  0 0 0
-1 3 9 ffffff
0 3 9 ffffff
-1 4 9 ffffff
0 4 9 ffffff
